x,temp1,temp2
14:33:41,21,21
14:33:41,22.9,22.7
14:33:42,23.0,23.0
14:33:43,22.9,23.2
14:33:44,23.0,23.0
14:33:46,22.9,23.2
14:33:47,22.9,22.8
14:33:48,22.9,22.9
14:33:49,22.9,22.7
14:33:50,22.9,23.1
14:33:51,22.8,23.0
14:33:52,22.9,22.7
14:33:53,22.8,22.9
14:33:54,22.9,22.8
14:33:55,22.8,23.2
14:33:56,22.8,22.8
14:33:57,22.8,22.8
14:33:58,22.8,22.7
14:33:59,22.8,22.8
14:34:00,22.8,23.1
14:34:01,22.8,23.0
14:34:02,22.7,22.9
14:34:03,22.8,22.8
14:34:04,22.7,23.1
14:34:05,22.8,23.0
14:34:06,22.7,22.9
14:34:07,22.7,22.7
14:34:08,22.7,23.2
14:34:09,22.6,22.8
14:34:10,22.7,23.2
14:34:11,22.6,22.8
14:34:12,22.7,22.7
14:34:13,22.7,23.1
14:34:15,22.7,22.8
14:34:16,22.6,23.1
14:34:17,22.6,22.7
14:34:18,22.6,22.8
14:34:19,22.6,22.7
14:34:20,22.6,22.8
14:34:21,22.6,23.1
14:34:22,22.6,22.6
14:34:23,22.6,22.8
14:34:24,22.6,23.1
14:34:25,22.6,22.9
14:34:26,22.6,23.0
14:34:27,22.6,22.6
14:34:28,22.6,23.1
14:34:29,22.6,23.0
14:34:30,22.5,22.7
14:34:31,22.6,23.1
14:34:32,22.6,22.6
14:34:33,22.6,22.6
14:34:34,22.6,23.1
14:34:35,22.6,22.5
14:34:36,22.6,23.1
14:34:37,22.6,22.5
14:34:38,22.5,22.6
14:34:39,22.6,22.8
14:34:40,22.5,22.9
14:34:41,22.6,22.6
14:34:42,22.5,22.5
14:34:43,22.6,23.0
14:34:45,22.5,22.8
14:34:46,22.6,22.8
14:34:47,22.5,22.8
14:34:48,22.5,23.0
14:34:49,22.5,22.5
14:34:50,22.5,23.1
14:34:51,22.5,22.6
14:34:52,22.5,22.9
14:34:53,22.5,22.7
14:34:54,22.5,22.9
14:34:55,22.5,22.6
14:34:56,22.5,23.1
14:34:57,22.4,22.6
14:34:58,22.5,22.8
14:34:59,22.5,22.5
14:35:00,22.5,23.0
14:35:01,22.4,22.8
14:35:02,22.5,22.6
14:35:03,22.4,22.6
14:35:04,22.5,22.8
14:35:05,22.4,23.0
14:35:06,22.4,22.5
14:35:07,22.5,22.5
14:35:08,22.5,22.7
14:35:09,22.8,23.0
14:35:10,23.9,22.5
14:35:11,24.7,23.1
14:35:12,25.3,22.5
14:35:13,25.8,22.7
14:35:15,26.2,22.8
14:35:16,26.5,22.9
14:35:17,27.0,22.6
14:35:18,27.1,23.0
14:35:19,27.4,23.0
14:35:20,27.5,22.6
14:35:21,27.7,22.8
14:35:22,27.8,22.8
14:35:23,28.0,22.7
14:35:24,28.2,22.9
14:35:25,28.2,23.0
14:35:26,28.3,22.5
14:35:27,28.4,22.9
14:35:28,28.4,22.6
14:35:29,28.6,22.8
14:35:30,28.6,22.6
14:35:31,28.4,23.0
14:35:32,28.1,22.5
14:35:33,28.0,22.9
14:35:34,27.8,22.6
14:35:35,27.5,22.8
14:35:36,27.4,22.9
14:35:37,27.2,22.5
14:35:38,27.1,22.8
14:35:39,27.0,23.0
14:35:40,26.8,23.0
14:35:41,26.7,22.7
14:35:42,26.5,22.6
14:35:43,26.5,23.0
14:35:45,26.4,22.6
14:35:46,26.2,22.7
14:35:47,26.1,22.5
14:35:48,26.0,22.9
14:35:49,26.0,22.8
14:35:50,25.8,22.5
14:35:51,25.7,22.5
14:35:52,25.6,22.7
14:35:53,25.6,23.0
14:35:54,25.5,22.6
14:35:55,25.5,22.7
14:35:56,25.3,22.5
14:35:57,25.3,22.9
14:35:58,25.3,22.8
14:35:59,25.2,23.0
14:36:00,25.1,22.5
14:36:01,25.0,22.7
14:36:02,24.9,22.5
14:36:03,24.9,23.0
14:36:04,24.9,22.7
14:36:05,24.8,22.8
14:36:06,24.7,22.5
14:36:07,24.7,23.0
14:36:08,24.7,22.8
14:36:09,24.6,23.0
14:36:10,24.5,22.5
14:36:11,24.4,22.6
14:36:12,24.4,23.0
14:36:14,24.4,22.8
14:36:15,24.4,23.0
14:36:16,24.3,22.7
14:36:17,24.2,22.5
14:36:18,24.2,22.5
14:36:19,24.2,22.7
14:36:20,24.2,23.0
14:36:21,24.2,22.7
14:36:22,24.1,22.5
14:36:23,24.1,22.5
14:36:24,24.0,22.6
14:36:25,24.0,23.0
14:36:26,24.0,22.7
14:36:27,23.9,22.4
14:36:28,23.9,22.6
14:36:29,23.8,22.5
14:36:30,23.8,22.9
14:36:31,23.9,22.8
14:36:32,23.8,23.0
14:36:33,23.8,22.7
14:36:34,23.7,22.5
14:36:35,23.7,22.7
14:36:36,23.7,23.0
14:36:37,23.6,22.8
14:36:38,23.7,23.0
14:36:39,23.7,22.7
14:36:40,23.6,22.4
14:36:41,23.6,22.7
14:36:42,23.6,22.5
14:36:44,23.5,22.7
14:36:45,23.5,23.0
14:36:46,23.6,22.8
14:36:47,23.5,22.5
14:36:48,23.4,23.5
14:36:49,23.4,22.5
14:36:50,23.4,22.7
14:36:51,23.5,23.0
14:36:52,23.4,22.7
14:36:53,23.4,22.4
14:36:54,23.4,22.6
14:36:55,23.3,22.5
14:36:56,23.3,22.8
14:36:57,23.3,23.0
14:36:58,23.3,22.9
14:36:59,23.3,22.9
14:37:00,23.3,22.5
14:37:01,23.2,22.5
14:37:02,23.2,22.6
14:37:03,23.2,22.4
14:37:04,23.1,22.6
14:37:05,23.1,22.8
14:37:06,23.2,23.0
14:37:07,23.2,22.8
14:37:08,23.2,23.0
14:37:09,23.2,22.7
14:37:10,23.1,22.5
14:37:11,23.1,22.5
14:37:12,23.1,22.8
14:37:14,23.0,22.6
14:37:15,23.1,22.9
14:37:16,23.1,22.8
14:37:17,23.0,22.5
14:37:18,23.0,22.5
14:37:19,23.0,22.4
14:37:20,22.9,22.7
14:37:21,22.9,23.0
14:37:22,22.9,22.8
14:37:23,22.9,22.9
14:37:24,22.9,22.6
14:37:25,22.9,22.4
14:37:26,22.8,22.8
14:37:27,22.8,22.6
14:37:28,22.8,22.9
14:37:29,22.9,22.7
14:37:30,22.8,22.4
14:37:31,22.8,22.5
14:37:32,22.8,22.5
14:37:33,22.8,22.8
14:37:34,22.8,22.9
14:37:35,22.8,22.9
14:37:36,22.8,22.8
14:37:37,22.7,22.4
14:37:38,22.7,22.6
14:37:39,22.7,22.4
14:37:40,22.7,22.7
14:37:41,22.7,23.0
14:37:43,22.7,22.6
14:37:44,22.7,22.8
14:37:45,22.7,22.5
14:37:46,22.6,22.5
14:37:47,22.7,22.9
14:37:48,22.7,22.8
14:37:49,22.7,23.0
14:37:50,22.7,22.6
14:37:51,22.6,22.4
14:37:52,22.6,22.8
14:37:53,22.6,22.9
14:37:54,22.6,22.6
14:37:55,22.6,22.8
14:37:56,22.6,22.5
14:37:57,22.5,22.5
14:37:58,22.6,22.9
14:37:59,22.6,22.8
14:38:00,22.6,23.0
14:38:01,22.6,22.6
14:38:02,22.6,22.4
14:38:03,22.6,22.8
14:38:04,22.6,23.0
14:38:05,22.6,22.8
14:38:06,22.6,22.9
14:38:07,22.6,22.6
14:38:08,22.6,22.4
14:38:09,22.5,22.5
14:38:10,22.5,22.4
14:38:11,22.5,22.6
14:38:13,22.5,22.9
14:38:14,22.5,22.7
14:38:15,22.5,22.9
14:38:16,22.5,22.6
14:38:17,22.5,22.4
14:38:18,22.5,22.5
14:38:19,22.4,22.5
14:38:20,22.5,22.8
14:38:21,22.5,22.6
14:38:22,22.5,22.9
14:38:23,22.5,22.7
14:38:24,22.4,22.4
14:38:25,22.5,22.5
14:38:26,22.4,22.5
14:38:27,22.4,22.9
14:38:28,22.5,22.7
14:38:29,22.4,22.8
14:38:30,22.4,22.4
14:38:31,22.4,22.5
14:38:32,22.4,22.9
